country,spi
Norway,91.78625011444092
Finland,91.50124835968016
Sweden,91.17374992370605
Denmark,91.16750049591064
Netherlands,90.96749973297119
Iceland,90.87375068664552
Australia,90.57750034332277
New Zealand,90.22500038146975
Switzerland,89.92249965667725
Germany,89.90625
Canada,89.57624912261963
Ireland,88.80625057220458
Japan,88.77874946594238
Belgium,88.73999977111815
United Kingdom,88.52999973297118
France,88.40749931335449
Luxembourg,88.21999931335449
Austria,88.15624999999999
Spain,87.68250083923338
South Korea,87.08249950408936
Slovenia,86.61125087738037
United States,86.50749969482422
Portugal,86.10624980926512
Estonia,85.80124950408936
Czechia,85.77124977111818
Italy,85.44749927520752
Greece,84.49125003814699
Malta,83.83250045776366
Poland,83.80750083923341
Singapore,83.71375083923338
Cyprus,83.3187494277954
Lithuania,83.01875019073486
Israel,82.97999954223633
Chile,82.58374881744385
Slovakia,82.28000068664552
Latvia,81.85375118255615
Costa Rica,81.4375
Uruguay,81.36375045776366
Hungary,81.28125000000001
Croatia,80.58624935150146
Barbados,79.01749801635742
Bulgaria,78.32749843597412
Argentina,78.30874919891357
Romania,77.78624916076663
Mauritius,76.05375003814697
Brazil,75.47749900817871
Panama,75.13875007629396
Kuwait,74.98000049591066
Montenegro,74.62749958038329
Trinidad and Tobago,74.5974988937378
Serbia,74.56625080108643
Albania,73.69624996185303
Belarus,73.63749980926515
Colombia,73.50750064849855
Malaysia,73.16250038146971
Jamaica,72.54124927520752
Georgia,72.30624961853029
Ecuador,72.17749977111816
Tunisia,72.12124824523926
Armenia,71.80250072479248
Peru,71.52499961853027
Ukraine,71.44374942779542
Moldova,71.27250003814697
Bosnia and Herzegovina,71.18875122070315
Mexico,71.17375087738034
North Macedonia,71.07375049591064
Russia,70.7475004196167
Jordan,70.02249908447266
Suriname,69.97625064849852
Kazakhstan,69.82999992370605
Cape Verde,69.71125030517578
Paraguay,69.07124996185304
Qatar,69.04749965667726
Dominican Republic,68.95874881744383
Thailand,68.80875015258788
Cuba,68.68000030517581
Mongolia,68.11124992370607
United Arab Emirates,68.10500049591066
Lebanon,68.06875133514404
Oman,68.02624988555908
Turkey,67.95374965667725
Algeria,67.8312511444092
South Africa,67.63749980926514
Sri Lanka,67.20874881744385
Bolivia,66.47625017166139
Botswana,66.17750024795531
Kyrgyzstan,65.90125036239627
Maldives,65.8675012588501
Indonesia,65.86375093460086
El Salvador,65.54999923706053
Bahrain,65.45874881744386
Vietnam,65.39624977111816
Philippines,65.27749919891359
Nicaragua,65.19250106811523
Iran,64.86874961853027
Morocco,64.79499959945679
Fiji,64.13875055313112
Bhutan,63.74000024795531
Guyana,63.32999992370606
Namibia,63.14250135421755
Saudi Arabia,62.57999992370606
China,62.52500009536744
Azerbaijan,61.79249954223635
Gabon,61.417500019073486
Ghana,61.191250324249275
Honduras,60.49749994277955
Sao Tome and Principe,60.09666697184243
Guatemala,59.158750057220466
Uzbekistan,59.12750005722045
Iraq,58.64875030517579
Egypt,58.25874996185303
Senegal,57.66875028610231
Timor,56.16124963760375
Tajikistan,55.542499542236335
Turkmenistan,55.29249954223634
India,54.35500049591065
Nepal,53.959999561309814
Tanzania,53.13250017166136
Bangladesh,53.023749351501465
Kenya,52.958749771118164
Benin,52.573750019073486
Zambia,52.53750038146974
Cambodia,52.447499752044685
Rwanda,51.464999675750725
Togo,50.83999919891359
Malawi,50.71875047683717
Uganda,50.28499984741211
Lesotho,50.0499997138977
Liberia,49.61125040054323
Myanmar,48.94125032424929
Cote d'Ivoire,48.82750034332276
Nigeria,48.68249940872194
Zimbabwe,48.51499986648559
Cameroon,48.02499961853026
Laos,47.943749904632575
Eswatini,47.67499971389771
Pakistan,47.55375003814699
Burkina Faso,47.37375020980835
North Korea,47.27375030517579
Mozambique,47.161249637603774
Equatorial Guinea,46.902499675750725
Mali,46.89374923706056
Sierra Leone,46.38749980926515
Haiti,46.384999752044685
Gambia,46.348750114440925
Mauritania,45.85624980926515
Congo,45.56749963760376
Madagascar,45.23749971389771
Djibouti,44.71374988555909
Angola,43.71500015258789
Ethiopia,43.29374980926514
Guinea-Bissau,42.55875015258789
Sudan,42.43250036239625
Papua New Guinea,41.7449998855591
Niger,40.76500034332274
Guinea,40.75874900817871
Burundi,39.68874979019168
Democratic Republic of Congo,38.71875
Afghanistan,37.77374982833864
Eritrea,34.381249904632575
Somalia,31.903750181198127
Chad,30.177500009536736
South Sudan,29.67799949645994
Central African Republic,29.382499933242787
Aland Islands,
American Samoa,
Andorra,
Anguilla,
Antarctica,
Antigua and Barbuda,
Aruba,
Bahamas,
Belize,
Bermuda,
Bonaire Sint Eustatius and Saba,
British Virgin Islands,
Brunei,
Christmas Island,
Comoros,
Cook Islands,
Curacao,
Dominica,
Faeroe Islands,
Falkland Islands,
French Guiana,
French Polynesia,
Greenland,
Grenada,
Guadeloupe,
Guernsey,
Hong Kong,
Isle of Man,
Jersey,
Kiribati,
Libya,
Liechtenstein,
Macao,
Marshall Islands,
Martinique,
Mayotte,
Micronesia (country),
Montserrat,
Nauru,
Netherlands Antilles,
New Caledonia,
Niue,
Palau,
Palestine,
Puerto Rico,
Reunion,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
Seychelles,
Sint Maarten (Dutch part),
Solomon Islands,
Svalbard and Jan Mayen,
Syria,
Taiwan,
Tonga,
Turks and Caicos Islands,
Tuvalu,
United States Virgin Islands,
Vanuatu,
Venezuela,
Wallis and Futuna,
Western Sahara,
Yemen,
